Case Number,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N)
2013.09.21.b,2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,45,Lacerations to right foot,N
2013.09.25,2013,Unprovoked,USA,Florida,"Panama City, Bay County",Standing,M,7,Laceration and puncture wounds to ankle,N
2013.09.29.a,2013,Provoked,ISRAEL,Southern District,Ashdod,Diving,M,27,Hand bitten PROVOKED INCIDENT,N
2013.09.29.b,2013,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,50,Lacerations to hand,N
2013.10.05.1,2013,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,45,Laceration to thigh,N
2013.10.05.2,2013,Unprovoked,USA,Florida,"Destin, Okaloosa County",Wading,M,12,Lacerations to  right forearm,N
2013.10.08,2013,Unprovoked,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,M,55,"Injuries to torso, head and face",N
2013.10.11,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",Swimming / snorkeling,M,74,FATAL,Y
2013.10.19,2013,Unprovoked,USA,Florida,Miami Beach,Wading,M,6,Bitten on left calf & foot,N
2013.10.20,2013,Unprovoked,USA,Hawaii,"Pila'a Beach, Kaua'i",Surfing,M,25,"No injury, shark bit surfboard",N
2013.10.23,2013,Unprovoked,USA,Hawaii,"Waiehu, Maui",Diving ,M,45,"3"" laceration to left hip",N
2013.10.24,2013,Unprovoked,AUSTRALIA,New South Wales,South Narrabeen Beach,Surfing,M,41,Injuries to right foot,N
2013.10.26.a,2013,Unprovoked,AUSTRALIA,Western Australia,"Little Island, near Hillarys",Diving for crayfish,M,unknown,"No injury, swim fin shredded",N
2013.10.26.b,2013,Unprovoked,REUNION,d’Étang-Salé,Ravine Mula,Body boarding,M,24,Right leg severed,N
2013.10.28,2013,Unprovoked,AUSTRALIA,Western Australia,Turquoise Bay,Snorkeling,F,60,Lacerations to right arm,N
2013.10.31,2013,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Kiteboarding,M,46,Severe bite to right calf & anklel,N
2013.11.07.a,2013,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,unknown,Foot bitten,N
2013.11.07.b,2013,Unprovoked,USA,New Jersey,"Bay Head, Ocean County",Body boarding,M,16,"No injury, swim fin bitten",N
2013.11.10,2013,Provoked,BAHAMAS,unknown,Off Cape Eleuthera,Shark fishing,M,77,Injuries to arm & leg by hooked shark   PROVOKED INCIDENT,N
2013.11.12,2013,Unprovoked,AUSTRALIA,Western Australia,"Trigg Beach, Perth",Surfing,M,unknown,"No injury, board bumped by shark",N
2013.11.22,2013,Unprovoked,USA,Oregon,"Gleneden Beach, Lincoln County",Surfing,M,25,"No injury, board bitten",N
2013.11.23.a,2013,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,35,FATAL,Y
2013.11.29,2013,Unprovoked,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,F,58,Right calf bitten,N
2013.11.30,2013,Unprovoked,AUSTRALIA,New South Wales,"Riecks Point,  Campbell’s Beach, ",Body boarding,M,19,FATAL,Y
2013.12.02,2013,Unprovoked,USA,Hawaii,"Between  Makena & Molokini, Maui",Kayaking / Fishing,M,57,FATAL,Y
2013.12.05,2013,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,26,"Puncture wounds to hand, laceration to leg",N
2013.12.10,2013,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,30,Right foot bitten,N
2013.12.11,2013,Unprovoked,USA,Hawaii,"Ninole Bay, Hawaii County",Boogie boarding,M,29,Lacerations to right hand & knee,N
2013.12.13,2013,Unprovoked,KIRIBATI,740 miles SE of Tarawa Atoll,unknown,Attempting to remove fishing net from submerged object,M,35,Severe injury to arm,N
2013.12.16,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Die Platt,Surfing,M,19,Injuries to left thigh,N
2013.12.25,2013,Unprovoked,NEW CALEDONIA,North Province,"Lindéralique, Hienghène",Snorkeling,M,37,Leg bitten,N
2014.00.00,2014,Boat,NEW ZEALAND,unknown,Stewart Island,Filming a documentary,unknown,unknown,"No injury to occupants, shark nudged and bit boat",N
2014.01.04,2014,Sea Disaster,JAPAN,Okinawa Prefecture,Off Miyako Island,Sea disaster,M,31,5 cm bite to left foot,N
2014.01.25,2014,Unprovoked,NEW ZEALAND,South Island,Garden Bay near Cosy Nook,Spearfishing,M,24,Minor injury to left lower leg & heel,N
2014.01.26,2014,Provoked,AUSTRALIA,New South Wales,Umina Beach,Fishing,M,unknown,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,N
2014.02.07,2014,Unprovoked,NEW ZEALAND,South Island,Porpoise Bay,Surfing,M,28,Lacerations to leg,N
2014.02.07.b,2014,Provoked,TRINIDAD & TOBAGO,Trinidad,unknown,Fishing,M,unknown,Possibly a PROVOKED INCIDENT,N
2014.02.08,2014,Unprovoked,AUSTRALIA,South Australia,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,M,28,FATAL,Y
2014.02.17,2014,Boat,PAPUA NEW GUINEA,unknown,unknown,Sailing,M,21,"No injury to occupants, hull bitten",N
2014.02.20,2014,Unprovoked,FRENCH POLYNESIA,Society Islands,Huahine,Kitesurfing,M,21,Lacerations to lower leg,N
2014.03.02,2014,Unprovoked,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,M,21,Lacerations to toes,N
2014.03.12,2014,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Swimming,M,unknown,Minor lacerations to foot,N
2014.03.13,2014,Invalid,CAYMAN ISLANDS,unknown,unknown,Scuba diving / culling lionfish,M,unknown,"Caribbean reef shark buzzed him. No injury, no attack. ",N
2014.03.18,2014,Invalid,AUSTRALIA,New South Wales,Lennox Head,unknown,F,10,"Injuries to wrist/hand by a mackerel, not a shark",N
2014.03.18.b,2014,Unprovoked,AUSTRALIA,Victoria,Winkipop Beach,Surfing,M,42,Shark leapt onto surfboard; surfer uninjured ,N
2014.03.18.c,2014,Unprovoked,NEW CALEDONIA,Baie de Sainte-Marie,unknown,Kite Surfing,M,42,Lacerations to calf,N
2014.03.21,2014,Unprovoked,USA,Florida,Macarthur State Park,Surfing,M,9,Lacerations to toes and heel of right foot,N
2014.03.22.a,2014,Unprovoked,USA,Florida,Delray Beach,Kite Surfing,M,unknown,Lacerations to left forearm,N
2014.03.22.b,2014,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,M,66,FATAL,Y
2014.03.29,2014,Invalid,AUSTRALIA,Western Australia,Off Dawesville Cut,Diving for lobsters,M,38,Shark bites may have been post mortem,Y
2014.04.03,2014,Unprovoked,AUSTRALIA,New South Wales,Tathra,Swimming,F,63,FATAL,Y
2014.04.04.a,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,unknown,Lacerations to foot,N
2014.04.04.b,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,unknown,Minor puncture wounds to lower left leg,N
2014.04.12,2014,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,M,unknown,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,N
2014.04.12.R,2014,Boat,SOUTH AFRICA,unknown,unknown,Shark watching,unknown,unknown,"No injury to occupants, shark bit pontoon",N
2014.04.15,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,25,Minor lacerations to left foot,N
2014.04.22,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,42,Laceration & puncture wounds to right foot,N
2014.04.24,2014,Unprovoked,AUSTRALIA,Western Australia,"South Passage, south of Coral Bay",Spearfishing,M,unknown,Minor injury,N
2014.05.01,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Laceration to right hand and cuts on fingertips,N
2014.05.04,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Simonstown,Diving,unknown,unknown,4-inch laceration to arm,N
2014.05.06,2014,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,40,Lacerations to left foot,N
2014.05.10.R,2014,Invalid,USA,Florida,"Bethel Shoals, Indian River County",Diving,M,unknown,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",N
2014.05.11,2014,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,M,12,Puncture wounds to right thigh,N
2014.05.13,2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,F,44,Lacerations and puncture wounds to right foot,N
2014.05.14,2014,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,M,35,"No injury, but surfboard severely damaged",N
2014.05.15,2014,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,F,38,Calf bitten,N
2014.05.22,2014,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,M,10,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N
2014.05.23,2014,Unprovoked,FRANCE,Wallis and Futuna,Wallis Island,Scuba diving,M,unknown,Lacerations to left thigh and hip,N
2014.05.27.R,2014,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Fell into the water,F,29,Lacerations to legs,N
2014.06.01.a,2014,Unprovoked,USA,Palmyra Atoll,unknown,Tagging sharks,F,37,Laceration to left hand,N
2014.06.01.b,2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,unknown,Lacerations & puncture wounds to ankle and foot,N
2014.06.01.c,2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,F,22,Laceration to right lower leg,N
2014.06.07,2014,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,F,14,Shallow lacerations & puncture wounds below shoulder,N
2014.06.08,2014,Unprovoked,JAPAN,Atsumi peninsula,Aichi,Surfing,M,43,Left arm bitten,N
2014.06.09.a,2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,M,39,Minor injury to torso,N
2014.06.09.b,2014,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,16,"Abrasion to right hand, lacerations to left forearm",N
2014.06.09.c,2014,Unprovoked,BRAZIL,unknown,500 km off the coast of Pernambuco,Fishing,M,43,Severe injury to arm,N
2014.06.17.R,2014,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Petting a shark,M,unknown,Lacerations to right hand by captive shark PROVOKED INCIDENT,N
2014.06.18.a,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,M,15,Lacerations to knee,N
2014.06.18.b,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,unknown,"No injury, surfboard 'attacked'",N
2014.06.25,2014,Unprovoked,BAHAMAS,Abaco Islands,unknown,Spearfishing,M,42,No injury but shark took his pole spear,N
2014.06.27.R,2014,Boat,ST. MARTIN,unknown,20 miles from shore,Transatlantic Rowing,M,48,His boat was holed by a shark,N
2014.07.03,2014,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,19,Right hand bitten,N
2014.07.05.a,2014,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,unknown,"No injury, surboard bitten",N
