Case Number,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N)
2015.01.23,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,Floating,M,24,Foot bitten,N
2015.01.24,2015,Unprovoked,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,unknown,"No injury, surfboard dented",N
2015.01.27,2015,Provoked,USA,Hawaii,Lahaina,Shark fishing,M,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,N
2015.01.30,2015,Boat,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Rowing,M,57,"No injury, shark's teeth scratched hull",N
2015.02.05,2015,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Bodysurfing,M,unknown,5 minor puncture wounds to lower left leg,N
2015.02.08,2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35,Laceration & puncture wounds to right flank & hip,N
2015.02.09,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,41,FATAL,Y
2015.02.14,2015,Unprovoked,REUNION,d’Étang-Salé,Ravine Mula,Swimming,F,22,FATAL,Y
2015.02.15,2015,Boat,ATLANTIC OCEAN,unknown,unknown,Transatlantic Rowing,unknown,unknown,"No injury, shark bit rudder",N
2015.03.07,2015,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,M,unknown,Thigh bitten,N
2015.03.10,2015,Provoked,MEXICO,Sinaloa,Mazlatan,Fishing,M,36,Right hand bitten by hooked shark PROVOKED INCIDENT,N
2015.03.11,2015,Boat,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,unknown,Bruised in falling overboard as shark bumped boat,N
2015.03.16,2015,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau,Hand feeding sharks,M,9,Hand bitten,N
2015.03.18,2015,Unprovoked,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N
2015.03.21,2015,Unprovoked,EGYPT,unknown,Marsa Alam,Swimming,M,52,FATAL,Y
2015.03.26,2015,Boat,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Kayak Fishing,M,36,No injury but kayak bitten,N
2015.03.29,2015,Invalid,ITALY,Sardinia,unknown,Diving,M,43,"FATAL, but shark involvement prior to death unconfirmed",Y
2015.03.31,2015,Invalid,BRAZIL,Pernambuco,"Praia del Chifre, Olinda",Surfing,M,23,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,N
2015.04.03,2015,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,M,70,Injuries to head & torso,N
2015.04.11,2015,Unprovoked,AUSTRALIA,New South Wales,McKenzies Beach,Paddle boarding,M,unknown,Ankle injured,N
2015.04.12,2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,13,FATAL,Y
2015.04.13,2015,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,M,48,Lacerations to shoulder and left bicep,N
2015.04.24.c,2015,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,M,71,"No injury, knocked off ski",N
2015.04.25,2015,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,26,Leg severed at mid-thigh,N
2015.04.26,2015,Unprovoked,USA,Florida,"Resident's Beach, Marco Island",Wading,M,63,Lacerations to left calf,N
2015.04.29,2015,Unprovoked,USA,Hawaii,Kanahena Cove ,Snorkeling,F,65,FATAL,Y
2015.05.02,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,M,29,"Injuries to leg, left arm & both hands",N
2015.05.03,2015,Unprovoked,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,unknown,Injuries to left arm & right hand,N
2015.05.07,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,unknown,"Lacerations to lower left leg, ankle & foot",N
2015.05.09,2015,Unprovoked,NEW CALEDONIA,unknown,Kouare ,Snorkeling,M,50,FATAL,Y
2015.05.15,2015,Unprovoked,USA,South Carolina,Sullivan's Island,unknown,M,30,Laceration to foot ,N
2015.05.20,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,2 puncture wounds to  dorsum of left foot,N
2015.05.24,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,13,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N
2015.05.25,2015,Unprovoked,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,Spearfishing,M,19,Lacerations to right forearm,N
2015.05.29.a,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,19,Minor lacerations to dorsum of right foot,N
2015.05.29.b,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Standing,F,14,Left foot bitten,N
2015.06.01,2015,Unprovoked,REUNION,Le Port,Folette,Surfing,M,47,Left forearm bitten,N
